cell_type,condition,n_cells,gene,mean_expr,mean_expr_pos,pct_positive
Monocyte,Control,3,Rela,-0.601611,0.0,0.0
Monocyte,Control,3,Spp1,-0.162293,0.0,0.0
Monocyte,Control,3,Tgfb1,3.064596,3.064596,100.0
Monocyte,Control,3,Smad4,-0.608813,0.0,0.0
Monocyte,Control,3,Nfkb1,-0.265408,0.864462,33.33
Monocyte,DVT,912,Sell,0.277416,2.259867,22.48
Monocyte,DVT,912,Fn1,0.116882,1.043275,46.71
Monocyte,DVT,912,Col1a1,-0.445589,0.182691,5.81
Monocyte,DVT,912,Tlr4,0.048824,1.771832,20.39
Monocyte,DVT,912,Tnf,0.726665,2.667419,33.55
Monocyte,DVT,912,Runx2,0.223895,1.934576,23.9
Monocyte,DVT,912,Dnmt3a,0.24385,1.267307,46.05
Monocyte,DVT,912,Stat3,0.685721,0.993708,80.92
Monocyte,DVT,912,Ccl2,0.413233,2.376627,25.99
Monocyte,DVT,912,Acta2,-0.216615,0.467822,25.99
Monocyte,DVT,912,Il6,-0.057729,2.092746,9.76
Monocyte,DVT,912,Prkca,-0.386715,0.893088,11.84
Monocyte,DVT,912,Rela,0.321961,1.194332,51.43
Monocyte,DVT,912,Spp1,0.144181,3.013891,9.65
Monocyte,DVT,912,Tgfb1,1.013617,1.766266,66.45
Monocyte,DVT,912,Smad4,0.208608,1.227364,44.52
Monocyte,DVT,912,Nfkb1,0.748733,1.09012,81.47
Neutrophil,Control,49,Sell,1.975289,3.985754,53.06
Neutrophil,Control,49,Fn1,-0.869794,0.343038,6.12
Neutrophil,Control,49,Col1a1,-1.06942,0.488889,6.12
Neutrophil,Control,49,Tlr4,0.170101,3.546359,14.29
Neutrophil,Control,49,Tnf,0.208115,5.399258,8.16
Neutrophil,Control,49,Runx2,-0.058126,3.857086,6.12
Neutrophil,Control,49,Dnmt3a,-0.335977,2.271321,10.2
Neutrophil,Control,49,Stat3,-0.036664,1.299739,42.86
Neutrophil,Control,49,Ccl2,-0.199618,3.473228,2.04
Neutrophil,Control,49,Acta2,-0.048332,1.569202,20.41
Neutrophil,Control,49,Il6,-0.290283,0.0,0.0
Neutrophil,Control,49,Prkca,-0.399894,2.034045,6.12
Neutrophil,Control,49,Rela,-0.347435,2.51204,8.16
Neutrophil,Control,49,Spp1,-0.162293,0.0,0.0
Neutrophil,Control,49,Tgfb1,-0.224026,2.62108,8.16
Neutrophil,Control,49,Smad4,-0.06068,3.228115,14.29
Neutrophil,Control,49,Nfkb1,-0.555665,1.861501,10.2
Neutrophil,DVT,609,Sell,1.941171,3.642752,56.81
Neutrophil,DVT,609,Fn1,-0.571732,0.498854,23.32
Neutrophil,DVT,609,Col1a1,-0.313432,0.401819,25.62
Neutrophil,DVT,609,Tlr4,0.865578,3.477267,32.51
Neutrophil,DVT,609,Tnf,1.526698,4.812246,35.14
Neutrophil,DVT,609,Runx2,0.3717,2.972097,20.85
Neutrophil,DVT,609,Dnmt3a,-0.423689,1.292294,10.84
Neutrophil,DVT,609,Stat3,0.867981,1.425069,76.85
Neutrophil,DVT,609,Ccl2,0.023049,3.227779,8.54
Neutrophil,DVT,609,Acta2,-0.175094,1.028333,19.21
Neutrophil,DVT,609,Il6,-0.242456,1.790232,2.3
Neutrophil,DVT,609,Prkca,-0.471018,1.281198,4.76
Neutrophil,DVT,609,Rela,0.225527,2.021965,31.53
Neutrophil,DVT,609,Spp1,0.333869,5.233471,9.2
Neutrophil,DVT,609,Tgfb1,-0.074327,1.974894,16.42
Neutrophil,DVT,609,Smad4,0.028273,1.878272,25.62
Neutrophil,DVT,609,Nfkb1,0.14455,1.366278,43.84
VSMC,Control,22,Sell,-0.297411,0.0,0.0
VSMC,Control,22,Fn1,-0.572949,0.59671,22.73
VSMC,Control,22,Col1a1,-0.831137,0.417059,9.09
VSMC,Control,22,Tlr4,0.072067,4.718815,9.09
VSMC,Control,22,Tnf,-0.25332,0.0,0.0
VSMC,Control,22,Runx2,-0.124564,3.842391,4.55
VSMC,Control,22,Dnmt3a,-0.380295,2.139368,9.09
VSMC,Control,22,Stat3,-0.542428,1.1458,22.73
VSMC,Control,22,Ccl2,-0.10685,3.448152,4.55
VSMC,Control,22,Acta2,1.528885,3.520855,50.0
VSMC,Control,22,Il6,-0.105471,3.775593,4.55
VSMC,Control,22,Prkca,-0.316829,2.101169,9.09
VSMC,Control,22,Rela,-0.010951,2.647018,18.18
VSMC,Control,22,Spp1,-0.162293,0.0,0.0
VSMC,Control,22,Tgfb1,-0.330073,2.753808,4.55
VSMC,Control,22,Smad4,-0.608813,0.0,0.0
VSMC,Control,22,Nfkb1,-0.535324,1.333129,13.64
VSMC,DVT,1099,Sell,-0.259578,1.242556,2.46
VSMC,DVT,1099,Fn1,1.086051,1.319344,88.54
VSMC,DVT,1099,Col1a1,0.150978,0.4759,60.6
VSMC,DVT,1099,Tlr4,-0.083142,1.455783,16.74
VSMC,DVT,1099,Tnf,-0.202689,1.73394,2.55
VSMC,DVT,1099,Runx2,-0.162703,1.412464,8.74
VSMC,DVT,1099,Dnmt3a,0.370922,1.111058,57.42
VSMC,DVT,1099,Stat3,0.226207,0.776743,61.42
VSMC,DVT,1099,Ccl2,-0.016013,2.029312,11.28
VSMC,DVT,1099,Acta2,3.095133,3.304239,94.45
VSMC,DVT,1099,Il6,0.396967,2.683294,23.11
VSMC,DVT,1099,Prkca,0.032955,0.946034,39.22
VSMC,DVT,1099,Rela,0.382441,1.142701,56.41
VSMC,DVT,1099,Spp1,-0.046323,2.872247,3.82
VSMC,DVT,1099,Tgfb1,-0.299361,0.859666,13.28
VSMC,DVT,1099,Smad4,0.146336,0.978011,47.59
VSMC,DVT,1099,Nfkb1,0.174978,0.701161,60.96
