UMAP1,UMAP2,cell_type,condition
8.503594,4.404242,Endothelial,Control
9.067164,0.7639489,Endothelial,Control
8.411928,4.318263,Endothelial,Control
5.73365,-0.9866122,Fibroblast,Control
9.063719,2.6175752,Endothelial,Control
8.539766,4.9131694,Endothelial,Control
1.3144089,-7.651761,Fibroblast,Control
7.9418564,2.5375423,Endothelial,Control
3.288846,-6.428686,Fibroblast,Control
8.277692,1.3884127,Endothelial,Control
5.0193467,9.437753,B_cell,Control
8.649943,2.355111,Endothelial,Control
-0.3262739,-5.04549,Fibroblast,Control
5.8976073,-1.4528084,Fibroblast,Control
1.5815376,-7.4666905,Fibroblast,Control
8.28458,1.545163,Endothelial,Control
-11.746767,0.32486925,Erythrocyte,Control
5.5924892,-1.0589237,Fibroblast,Control
8.082952,0.7390795,Endothelial,Control
1.3427035,-7.4489937,Fibroblast,Control
9.352978,0.96392715,Endothelial,Control
8.371912,0.673725,Endothelial,Control
8.578139,0.23409986,Endothelial,Control
7.712232,0.34686023,Endothelial,Control
9.4320755,1.8242575,Endothelial,Control
8.284597,0.5739917,Endothelial,Control
8.449619,2.9728901,Endothelial,Control
8.330389,3.2482018,Endothelial,Control
5.956131,-1.1436851,Fibroblast,Control
0.11882257,-8.200949,Fibroblast,Control
8.865051,0.58582234,Endothelial,Control
6.316371,-0.08711881,Erythrocyte,Control
0.2873617,-7.2143993,Fibroblast,Control
8.595092,3.4750235,Endothelial,Control
8.681128,3.7286892,Endothelial,Control
5.1795163,9.838545,B_cell,Control
8.084678,1.7898636,Endothelial,Control
0.19716413,-8.14623,Fibroblast,Control
8.962632,3.7498584,Endothelial,Control
2.1840355,-6.593101,Fibroblast,Control
7.823427,2.4671218,Endothelial,Control
7.645769,3.2054641,Endothelial,Control
8.716686,1.8916456,Endothelial,Control
8.4955,2.6999452,Endothelial,Control
8.407594,2.3204305,Endothelial,Control
5.5317354,10.422107,B_cell,Control
6.6749783,1.1307713,Endothelial,Control
3.8822732,-5.6907473,Fibroblast,Control
3.5021312,3.954457,Endothelial,Control
0.16214865,-7.679246,Fibroblast,Control
0.37380186,-7.809698,Fibroblast,Control
4.870484,1.9634541,Endothelial,Control
2.3054051,-6.5435605,Fibroblast,Control
8.39352,3.8675048,Endothelial,Control
8.099988,2.1539276,Endothelial,Control
-0.78359014,13.004394,Fibroblast,Control
-0.17266256,-8.396844,Fibroblast,Control
9.111403,0.5160721,Endothelial,Control
3.2732909,3.8472068,Endothelial,Control
0.51498264,-8.475578,Fibroblast,Control
7.7355475,2.970035,Endothelial,Control
8.266307,2.9371572,Endothelial,Control
-4.1416106,6.263818,Fibroblast,Control
7.463397,1.5047758,Endothelial,Control
9.406041,2.1487906,Endothelial,Control
0.6469229,-8.136378,Fibroblast,Control
8.9133625,1.1640465,Endothelial,Control
8.491854,1.5899208,Endothelial,Control
3.2678313,-6.3136525,Fibroblast,Control
-4.604932,5.430333,Fibroblast,Control
7.9227147,0.0909951,Endothelial,Control
8.546208,1.6163557,Endothelial,Control
2.3692555,-7.525167,Fibroblast,Control
-0.31340092,-7.5193324,Fibroblast,Control
0.65631664,-7.9569883,Fibroblast,Control
4.819647,1.9091611,Endothelial,Control
9.773075,1.9243076,Endothelial,Control
2.6568744,8.113647,Fibroblast,Control
5.6965194,-1.2507102,Fibroblast,Control
1.3464113,-7.741698,Fibroblast,Control
9.444373,1.7291073,Endothelial,Control
9.1890955,2.0365036,Endothelial,Control
0.7250363,-7.242508,Fibroblast,Control
7.560853,0.95842534,Endothelial,Control
8.664216,0.54339087,Endothelial,Control
8.736584,0.48249894,Endothelial,Control
8.765157,2.485946,Endothelial,Control
6.336934,-0.6823131,Fibroblast,Control
8.915847,0.14249413,Endothelial,Control
8.454208,2.7011943,Endothelial,Control
7.8910475,3.1263218,Endothelial,Control
8.480921,1.8432875,Endothelial,Control
-11.012339,4.0963626,Fibroblast,Control
9.139246,3.1688373,Endothelial,Control
9.624946,2.188615,Endothelial,Control
8.891061,2.7462392,Endothelial,Control
7.8617015,0.9094253,Endothelial,Control
4.169053,-5.5616117,Fibroblast,Control
9.079909,3.6206372,Endothelial,Control
-11.410246,0.089068174,Erythrocyte,Control
2.3977137,-7.596895,Fibroblast,Control
-2.1576552,6.7410994,Fibroblast,Control
-6.5316415,11.859539,Neutrophil,Control
8.190364,1.0420027,Endothelial,Control
-0.85448635,13.042867,Fibroblast,Control
8.319777,3.041859,Endothelial,Control
7.4773498,1.0174317,Endothelial,Control
9.417374,1.3812374,Endothelial,Control
